10,0,0,total,946,746
10,0,1,total,946,746
10,0,2,total,946,746
10,0,3,total,946,746
10,0,4,total,946,746
10,0,5,total,946,746
10,0,6,total,946,746
10,0,7,total,946,746
10,0,8,total,946,746
10,0,9,total,946,746
10,0,10,total,947,746
10,0,11,total,946,746
10,0,12,total,946,746
10,0,13,total,946,746
10,0,14,total,946,746
10,0,15,total,947,746
10,0,16,total,946,746
10,0,17,total,946,746
10,0,18,total,946,746
10,0,19,total,946,746
10,0,20,total,946,746
10,0,21,total,946,746
10,0,22,total,946,746
10,0,23,total,946,746
10,0,24,total,946,746
10,0,25,total,946,746
10,0,26,total,946,746
10,0,27,total,946,746
10,0,28,total,946,746
10,0,29,total,946,746
10,0,30,total,946,746
10,0,31,total,946,746
10,0,32,total,946,746
10,0,33,total,946,746
10,0,34,total,946,746
10,0,35,total,947,746
10,0,36,total,946,746
10,0,37,total,946,746
10,0,38,total,946,746
10,0,39,total,946,746
10,0,40,total,946,746
10,0,41,total,946,746
10,0,42,total,945,746
10,0,43,total,946,746
10,0,44,total,946,746
10,0,45,total,946,746
10,0,46,total,946,746
10,0,47,total,946,746
10,0,48,total,945,746
10,0,49,total,946,746
10,0,50,total,946,746
10,0,51,total,946,746
10,0,52,total,946,746
10,0,53,total,946,746
10,0,54,total,947,746
10,0,55,total,947,746
10,0,56,total,948,746
10,0,57,total,947,746
10,0,58,total,946,746
10,0,59,total,947,746
10,0,59,;;,56767,60,946
10,1,0,total,946,746
10,1,1,total,946,746
10,1,2,total,946,746
10,1,3,total,946,746
10,1,4,total,945,746
10,1,5,total,946,746
10,1,6,total,946,746
10,1,7,total,946,746
10,1,8,total,946,746
10,1,9,total,945,746
10,1,10,total,946,746
10,1,11,total,946,746
10,1,12,total,946,746
10,1,13,total,946,746
10,1,14,total,946,746
10,1,15,total,946,746
10,1,16,total,946,746
10,1,17,total,946,746
10,1,18,total,946,746
10,1,19,total,946,746
10,1,20,total,946,746
10,1,21,total,946,746
10,1,22,total,946,746
10,1,23,total,946,745
10,1,24,total,946,746
10,1,25,total,946,746
10,1,26,total,946,746
10,1,27,total,946,746
10,1,28,total,946,746
10,1,29,total,946,746
10,1,30,total,946,746
10,1,31,total,946,746
10,1,32,total,946,746
10,1,33,total,946,746
10,1,34,total,946,746
10,1,35,total,946,746
10,1,36,total,946,746
10,1,37,total,946,746
10,1,38,total,947,746
10,1,39,total,946,747
10,1,40,total,947,747
10,1,41,total,946,746
10,1,42,total,946,747
10,1,43,total,946,747
10,1,44,total,947,747
10,1,45,total,947,747
10,1,46,total,947,747
10,1,47,total,946,747
10,1,48,total,946,747
10,1,49,total,946,747
10,1,50,total,946,747
10,1,51,total,946,747
10,1,52,total,946,747
10,1,53,total,946,747
10,1,54,total,946,747
10,1,56,total,946,747
10,1,57,total,946,747
10,1,58,total,946,747
10,1,59,total,946,746
10,1,59,;;,55817,59,946
10,2,0,total,946,746
10,2,1,total,946,746
10,2,2,total,946,746
10,2,3,total,946,746
10,2,4,total,946,746
10,2,5,total,946,746
10,2,6,total,947,746
10,2,7,total,947,746
10,2,8,total,946,746
10,2,9,total,946,746
10,2,10,total,946,746
10,2,11,total,946,746
10,2,12,total,946,746
10,2,13,total,946,746
10,2,14,total,946,746
10,2,15,total,946,746
10,2,16,total,946,746
10,2,17,total,946,746
10,2,18,total,946,746
10,2,19,total,946,746
10,2,20,total,946,746
10,2,21,total,946,746
10,2,22,total,946,746
10,2,23,total,946,746
10,2,24,total,946,746
10,2,25,total,946,746
10,2,26,total,946,746
10,2,27,total,946,746
10,2,28,total,946,746
10,2,29,total,946,747
10,2,30,total,946,747
10,2,31,total,946,746
10,2,32,total,946,746
10,2,33,total,946,746
10,2,34,total,946,746
10,2,35,total,945,746
10,2,36,total,946,746
10,2,37,total,946,747
10,2,38,total,946,746
10,2,39,total,946,746
10,2,40,total,945,746
10,2,41,total,946,746
10,2,42,total,946,746
10,2,43,total,946,746
10,2,44,total,946,746
10,2,45,total,946,746
10,2,46,total,946,746
10,2,47,total,946,746
10,2,48,total,946,746
10,2,49,total,946,746
10,2,50,total,946,746
10,2,51,total,946,746
10,2,52,total,946,746
10,2,53,total,946,746
10,2,54,total,946,746
10,2,55,total,946,746
10,2,56,total,946,746
10,2,57,total,946,746
10,2,58,total,946,746
10,2,59,total,946,746
10,2,59,;;,56760,60,946
10,3,0,total,946,746
10,3,1,total,946,746
10,3,2,total,946,746
10,3,3,total,946,746
10,3,4,total,946,746
10,3,5,total,945,746
10,3,6,total,946,746
10,3,7,total,946,746
10,3,8,total,946,746
10,3,9,total,946,746
10,3,10,total,946,746
10,3,11,total,946,746
10,3,12,total,946,747
10,3,13,total,946,746
10,3,14,total,946,747
10,3,15,total,946,746
10,3,16,total,946,746
10,3,17,total,946,746
10,3,18,total,946,746
10,3,19,total,946,746
10,3,20,total,946,747
10,3,21,total,946,747
10,3,22,total,946,747
10,3,23,total,946,746
10,3,24,total,946,746
10,3,25,total,946,747
10,3,26,total,946,746
10,3,27,total,945,746
10,3,28,total,946,747
10,3,29,total,946,746
10,3,30,total,946,746
10,3,31,total,946,746
10,3,32,total,946,746
10,3,33,total,946,746
10,3,34,total,946,746
10,3,35,total,946,746
10,3,36,total,946,746
10,3,37,total,946,746
10,3,38,total,946,746
10,3,39,total,946,746
10,3,40,total,946,746
10,3,41,total,946,746
10,3,42,total,946,746
10,3,43,total,946,746
10,3,44,total,946,746
10,3,45,total,946,746
10,3,46,total,946,746
10,3,47,total,946,746
10,3,48,total,946,746
10,3,49,total,946,746
10,3,50,total,946,746
10,3,51,total,946,746
10,3,52,total,946,746
10,3,53,total,946,746
10,3,54,total,945,746
10,3,55,total,946,746
10,3,56,total,946,746
10,3,57,total,946,746
10,3,58,total,946,746
10,3,59,total,946,746
10,3,59,;;,56757,60,945
10,4,0,total,945,746
10,4,1,total,946,746
10,4,2,total,946,746
10,4,3,total,945,746
10,4,4,total,946,746
10,4,5,total,946,746
10,4,6,total,946,746
10,4,7,total,946,746
10,4,8,total,945,746
10,4,9,total,945,746
10,4,10,total,946,746
10,4,11,total,946,746
10,4,12,total,946,746
10,4,13,total,946,747
10,4,14,total,946,747
10,4,15,total,945,746
10,4,16,total,946,746
10,4,17,total,946,746
